studyId,pmid,pmcid,doi,status,errmsg
lusc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
lusc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
lusc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
lusc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
lusc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
lusc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
lusc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
lusc_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
lusc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
lusc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
lusc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
lusc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
meso_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
meso_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
meso_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
meso_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
meso_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
meso_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
meso_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
meso_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
meso_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
meso_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
meso_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
ov_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
ov_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
ov_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
ov_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ov_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
ov_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
ov_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ov_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
ov_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
ov_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
ov_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
ov_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
paad_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
paad_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
paad_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
paad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
paad_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
paad_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
paad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
paad_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
paad_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
paad_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
paad_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
paad_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
pcpg_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
pcpg_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
pcpg_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
pcpg_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
pcpg_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
pcpg_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
pcpg_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
pcpg_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
pcpg_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
pcpg_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
pcpg_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
pcpg_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
prad_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
prad_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
prad_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
prad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
prad_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
prad_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
prad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
prad_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
prad_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
prad_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
prad_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
prad_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
sarc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
sarc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
sarc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
sarc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
sarc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
sarc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
sarc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
sarc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
sarc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
sarc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
sarc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
skcm_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
skcm_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
skcm_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
skcm_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
skcm_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
skcm_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
skcm_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
skcm_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
skcm_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
skcm_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
skcm_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
skcm_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
stad_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
stad_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
stad_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
stad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
stad_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
stad_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
stad_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
stad_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
stad_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
stad_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
stad_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
tgct_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
tgct_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
tgct_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
tgct_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
tgct_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
tgct_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
tgct_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
tgct_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
tgct_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
tgct_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
tgct_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
thca_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
thca_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
thca_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
thca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
thca_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
thca_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
thca_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
thca_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
thca_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
thca_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
thca_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
thca_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
thym_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
thym_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
thym_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
thym_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
thym_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
thym_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
thym_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
thym_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
thym_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
thym_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
thym_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
ucec_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
ucec_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
ucec_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
ucec_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ucec_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
ucec_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
ucec_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ucec_tcga_pan_can_atlas_2018,30643250,PMC12521747,,error;elink,Identifier not found in PMC
ucec_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
ucec_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
ucec_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
ucec_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
ucs_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
ucs_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
ucs_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
ucs_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ucs_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
ucs_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
ucs_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
ucs_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
ucs_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
ucs_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
ucs_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
uvm_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
uvm_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
uvm_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
uvm_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
uvm_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
uvm_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
uvm_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
uvm_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
uvm_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
uvm_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
uvm_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
coad_silu_2022,37202560,PMC10202816,10.1038/s41591-023-02324-5,ok,
acc_tcga_pan_can_atlas_2018,29625048,PMC5957518,10.1016/j.cell.2018.03.022,ok,
acc_tcga_pan_can_atlas_2018,29596782,PMC6075717,10.1016/j.cels.2018.03.002,ok,
acc_tcga_pan_can_atlas_2018,29622463,PMC6028190,10.1016/j.ccell.2018.03.007,ok,
acc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
acc_tcga_pan_can_atlas_2018,29625055,PMC6066282,10.1016/j.cell.2018.02.052,ok,
acc_tcga_pan_can_atlas_2018,29625050,PMC6070353,10.1016/j.cell.2018.03.035,ok,
acc_tcga_pan_can_atlas_2018,29617662,PMC5916809,10.1016/j.celrep.2018.03.050,ok,
acc_tcga_pan_can_atlas_2018,32214244,PMC7500457,10.1038/s41586-020-2095-1,ok,
acc_tcga_pan_can_atlas_2018,29625049,PMC5916814,10.1016/j.cell.2018.03.033,ok,
acc_tcga_pan_can_atlas_2018,29850653,PMC5972025,10.1200/PO.17.00073,ok,
acc_tcga_pan_can_atlas_2018,36334560,PMC12390932,,error;elink,Identifier not found in PMC
msk_chord_2024,39506116,PMC11655358,10.1038/s41586-024-08167-5,ok,
pancan_mappyacts_2022,35292802,PMC9394403,10.1158/2159-8290.CD-21-1136,ok,
msk_met_2021,35120664,PMC9147702,10.1016/j.cell.2022.01.003,ok,
blca_msk_2024,39499893,PMC12088707,10.1200/PO.24.00287,ok,
brca_fuscc_2020,32719455,PMC8027015,10.1038/s41422-020-0375-9,ok,
thyroid_gatci_2024,38412093,PMC11077417,10.1016/j.celrep.2024.113826,ok,
braf_msk_impact_2024,38922339,PMC11371517,10.1158/1078-0432.CCR-23-3981,ok,
bcc_unige_2016,26950094,PMC12448954,,error;elink,Identifier not found in PMC
ampca_bcm_2016,26804919,PMC4982376,10.1016/j.celrep.2015.12.005,ok,
blca_dfarber_mskcc_2014,25096233,PMC4238969,10.1158/2159-8290.CD-14-0623,ok,
blca_mskcc_solit_2012,23897969,PMC3753703,10.1200/JCO.2012.46.5740,ok,
blca_bgi,24121792,PMC7512009,10.1038/ng.2798,ok,
all_stjude_2013,23334668,PMC3919793,10.1038/ng.2532,ok,
acyc_mskcc_2013,23685749,PMC3708595,10.1038/ng.2643,ok,
acyc_jhu_2016,26862087,PMC4818686,10.1158/1940-6207.CAPR-15-0316,ok,
acyc_mda_2015,26631609,PMC4807116,10.1158/1078-0432.CCR-15-2867-T,ok,
acyc_sanger_2013,23778141,PMC3999050,10.1172/JCI67201,ok,
all_stjude_2016,27776115,PMC5144107,10.1038/ng.3691,ok,
angs_project_painter_2018,32042194,PMC12534164,,error;elink,Identifier not found in PMC
bfn_duke_nus_2015,26437033,PMC12458290,,error;elink,Identifier not found in PMC
blca_cornell_2016,27749842,PMC5549141,10.1038/ng.3692,ok,
aml_ohsu_2018,30333627,PMC6280667,10.1038/s41586-018-0623-z,ok,
blca_bcan_hcrn_2022,36333289,PMC9636269,10.1038/s41467-022-33980-9,ok,
aml_ohsu_2022,35868306,PMC9378589,10.1016/j.ccell.2022.07.002,ok,
asclc_msk_2024,39185963,PMC11726019,10.1158/2159-8290.CD-24-0286,ok,
brca_bccrc_xenograft_2014,25470049,PMC4864027,10.1038/nature13952,ok,
brca_broad,22722202,PMC4148686,10.1038/nature11154,ok,
brca_bccrc,22495314,PMC3863681,10.1038/nature10933,ok,
brca_igr_2015,28027327,PMC5189935,10.1371/journal.pmed.1002201,ok,
blca_tcga_pub_2017,28988769,PMC5687509,10.1016/j.cell.2017.09.007,ok,
brca_mskcc_2019,31552290,PMC6757060,10.1038/s41523-019-0126-6,ok,
brca_jup_msk_2020,33263939,PMC7869928,10.1002/cjp2.190,ok,
brain_cptac_2020,33242424,PMC8143193,10.1016/j.cell.2020.10.044,ok,
brca_cptac_2020,33212010,PMC8077737,10.1016/j.cell.2020.10.036,ok,
brca_dfci_2020,32404308,PMC8815415,10.1158/2159-8290.CD-19-1390,ok,
brca_sanger,22722201,PMC3428862,10.1038/nature11017,ok,
brca_tcga_pub,23000897,PMC3465532,10.1038/nature11412,ok,
breast_msk_2018,30205045,PMC6327853,10.1016/j.ccell.2018.08.008,ok,
breast_alpelisib_2020,32864625,PMC7450824,10.1038/s43018-020-0047-1,ok,
brca_smc_2018,29713003,PMC5928087,10.1038/s41467-018-04129-4,ok,
breast_ink4_msk_2021,34544752,PMC8831444,10.1158/2159-8290.CD-20-1726,ok,
brca_pareja_msk_2020,32220886,PMC7367727,10.1158/1078-0432.CCR-19-2563,ok,
crc_msk_2017,29316426,PMC5765991,10.1016/j.ccell.2017.12.004,ok,
pancan_pcawg_2020,32025007,PMC7025898,10.1038/s41586-020-1969-6,ok,
pdac_msk_2024,39753968,PMC11835752,10.1038/s41591-024-03362-3,ok,
braf_msk_archer_2024,38922339,PMC11371517,10.1158/1078-0432.CCR-23-3981,ok,
sarcoma_ucla_2024,39305899,PMC12318355,10.1016/j.stem.2024.08.010,ok,
csf_msk_2024,39289779,PMC11406943,10.1186/s40478-024-01846-4,ok,
normal_skin_fibroblast_2024,39091884,PMC11291049,10.1101/2024.07.23.604673,ok,
normal_skin_keratinocytes_2024,39091884,PMC11291049,10.1101/2024.07.23.604673,ok,
normal_skin_melanocytes_2024,33029006,PMC7581540,10.1038/s41586-020-2785-8,ok,
normal_skin_melanocytes_2024,39091884,PMC11291049,10.1101/2024.07.23.604673,ok,
normal_skin_melanocytes_2024,38895302,PMC11185634,10.1101/2024.06.04.597225,ok,
normal_skin_melanocytes_2024,39975212,PMC11839034,10.1101/2025.02.07.637114,ok,
chl_sccc_2023,36723991,PMC10150291,10.1158/2643-3230.BCD-22-0128,ok,
blca_msk_2025,40256659,PMC12008543,10.1016/j.euros.2025.03.009,ok,
esca_broad,23525077,PMC3678719,10.1038/ng.2591,ok,
escc_icgc,24670651,PMC12524419,,error;elink,Identifier not found in PMC
es_iocurie_2014,25223734,PMC4264969,10.1158/2159-8290.CD-14-0622,ok,
gbc_shanghai_2014,24997986,PMC12363069,,error;elink,Identifier not found in PMC
egc_tmucih_2015,25583476,PMC4313862,10.1073/pnas.1422640112,ok,
egc_msk_2017,29122777,PMC5813492,10.1158/2159-8290.CD-17-0787,ok,
dlbcl_duke_2017,28985567,PMC5659841,10.1016/j.cell.2017.09.027,ok,
dlbcl_dfci_2018,29713087,PMC6613387,10.1038/s41591-018-0016-8,ok,
gbc_msk_2018,30427539,PMC6636637,10.1002/cncr.31850,ok,
egc_trap_msk_2020,32437664,PMC8229851,10.1016/S1470-2045(20)30169-8,ok,
egc_mskcc_2020,33795256,PMC8228505,10.1158/1078-0432.CCR-20-4707,ok,
egc_trap_ccr_msk_2023,37406106,PMC10502449,10.1158/1078-0432.CCR-22-3769,ok,
hnsc_broad,21798893,PMC3415217,10.1126/science.1208130,ok,
hnc_mskcc_2016,27442865,PMC5253129,10.1001/jamaoncol.2016.1790,ok,
hcc_inserm_fr_2015,25822088,PMC4587544,10.1038/ng.3252,ok,
gct_msk_2016,27646943,PMC5477828,10.1200/JCO.2016.68.7798,ok,
hcc_mskimpact_2018,30373752,PMC6689131,10.1158/1078-0432.CCR-18-2293,ok,
glioma_mskcc_2019,31263031,PMC6753053,10.1158/1078-0432.CCR-19-0032,ok,
glioma_msk_2018,30675060,PMC6457907,10.1038/s41586-019-0882-3,ok,
hccihch_pku_2019,31130341,PMC8317046,10.1016/j.ccell.2019.04.007,ok,
hgsoc_msk_2021,34819508,PMC8613272,10.1038/s41525-021-00259-9,ok,
hcc_meric_2021,35508466,PMC9068765,10.1038/s41467-022-29960-8,ok,
hcc_clca_2024,38355797,PMC12548999,,error;elink,Identifier not found in PMC
kirc_bgi,22138691,PMC12432380,,error;elink,Identifier not found in PMC
kich_tcga_pub,25155756,PMC4160352,10.1016/j.ccr.2014.07.014,ok,
hnsc_jhu,21798897,PMC3162986,10.1126/science.1206923,ok,
hnsc_mdanderson_2013,23619168,PMC3858325,10.1158/2159-8290.CD-12-0537,ok,
ihch_smmu_2014,25526346,PMC12468851,,error;elink,Identifier not found in PMC
ihch_mskcc_2020,33963001,PMC8282702,10.1158/1078-0432.CCR-21-0412,ok,
ihch_msk_2021,33765338,PMC8713028,10.1002/hep.31829,ok,
lgg_ucsf_2014,24336570,PMC3998672,10.1126/science.1239947,ok,
lgggbm_tcga_pub,26824661,PMC4754110,10.1016/j.cell.2015.12.028,ok,
lihc_amc_prv,24798001,PMC12452113,,error;elink,Identifier not found in PMC
lihc_riken,22634756,PMC12529571,,error;elink,Identifier not found in PMC
luad_mskcc_2015,25765070,PMC4993154,10.1126/science.aaa1348,ok,
luad_broad,22980975,PMC3557932,10.1016/j.cell.2012.08.029,ok,
liad_inserm_fr_2014,24735922,PMC12261305,,error;elink,Identifier not found in PMC
lcll_broad_2013,23415222,PMC3575604,10.1016/j.cell.2013.01.019,ok,
luad_msk_npjpo_2021,34290393,PMC8295366,10.1038/s41698-021-00210-2,ok,
luad_cptac_2020,32649874,PMC7373300,10.1016/j.cell.2020.06.013,ok,
lusc_tcga_pub,22960745,PMC3466113,10.1038/nature11404,ok,
mbl_broad_2012,22820256,PMC3413789,10.1038/nature11329,ok,
mbl_icgc,22832583,PMC3662966,10.1038/nature11284,ok,
mbl_pcgp,22722829,PMC3412905,10.1038/nature11213,ok,
lung_msk_2017,28336552,PMC5482929,10.1158/2159-8290.CD-16-1337,ok,
luad_mskcc_2020,32791233,PMC7704768,10.1016/j.jtho.2020.08.005,ok,
luad_oncosg_2020,32015526,PMC12443039,,error;elink,Identifier not found in PMC
lung_smc_2016,27634761,PMC10937974,,error;elink,Identifier not found in PMC
lung_pdx_msk_2021,35440124,PMC9018685,10.1038/s41467-022-29794-4,ok,
mbl_dkfz_2017,28726821,PMC5905700,10.1038/nature22973,ok,
lusc_cptac_2021,34358469,PMC8475722,10.1016/j.cell.2021.07.016,ok,
lung_nci_2022,34493867,PMC8432745,10.1038/s41588-021-00920-0,ok,
mm_broad,24434212,PMC4241387,10.1016/j.ccr.2013.12.015,ok,
mcl_idibips_2013,24145436,PMC3831489,10.1073/pnas.1314608110,ok,
mds_tokyo_2011,21909114,PMC12550706,,error;elink,Identifier not found in PMC
